(base) robertselwyn:src on main [!?]$ python3 new_cfr_full_range.py 
0
PRINTING HAND INFORMATION
-------- ITER 0 -------
/Users/robertselwyn/Desktop/Stanford/cs/cs238/final_proj/src/new_cfr_full_range.py:34: RuntimeWarning: divide by zero encountered in double_scalars
  display_results(expected_game_value / a, i_map)
player 1 expected value: inf
player 2 expected value: -inf

4cAc rrc ['0.50', '0.50']
4cAh rrb ['0.50', '0.50']
4cAh rrc ['0.50', '0.50']
4cJc rrb ['0.50', '0.50']
4cJc rrc ['0.50', '0.50']
4cJh rrb ['0.50', '0.50']
4cJh rrc ['0.50', '0.50']
4cKc rrb ['0.50', '0.50']
4cKc rrc ['0.50', '0.50']
4cKh rrb ['0.50', '0.50']
4cKh rrc ['0.50', '0.50']
4cQc rrb ['0.50', '0.50']
4cQc rrc ['0.50', '0.50']
4cQh rrb ['0.50', '0.50']
4cQh rrc ['0.50', '0.50']
4cTc rrb ['0.50', '0.50']
4cTc rrc ['0.50', '0.50']
4cTh rrb ['0.50', '0.50']
4cTh rrc ['0.50', '0.50']
4h4c rrb ['0.50', '0.50']
4h4c rrc ['0.50', '0.50']
4h4s rrb ['0.50', '0.50']
4h4s rrc ['0.50', '0.50']
4h5c rrb ['0.50', '0.50']
4h5c rrc ['0.50', '0.50']
4h5h rrb ['0.50', '0.50']
4h5h rrc ['0.50', '0.50']
4h5s rrb ['0.50', '0.50']
4h5s rrc ['0.50', '0.50']
4h6c rrb ['0.50', '0.50']
4h6c rrc ['0.50', '0.50']
4h6h rrb ['0.50', '0.50']
4h6h rrc ['0.50', '0.50']
4h6s rrb ['0.50', '0.50']
4h6s rrc ['0.50', '0.50']
4h7c rrb ['0.50', '0.50']
4h7c rrc ['0.50', '0.50']
4h7h rrb ['0.50', '0.50']
4h7h rrc ['0.50', '0.50']
4h7s rrb ['0.50', '0.50']
4h7s rrc ['0.50', '0.50']
4h8c rrb ['0.50', '0.50']
4h8c rrc ['0.50', '0.50']
4h8h rrb ['0.50', '0.50']
4h8h rrc ['0.50', '0.50']
4h8s rrb ['0.50', '0.50']
4h8s rrc ['0.50', '0.50']
4h9c rrb ['0.50', '0.50']
4h9c rrc ['0.50', '0.50']
4h9h rrb ['0.50', '0.50']
4h9h rrc ['0.50', '0.50']
4h9s rrb ['0.50', '0.50']
4h9s rrc ['0.50', '0.50']
4hAc rrb ['0.50', '0.50']
4hAc rrc ['0.50', '0.50']
4hAh rrb ['0.50', '0.50']
4hAh rrc ['0.50', '0.50']
4hAs rrb ['0.50', '0.50']
4hAs rrc ['0.50', '0.50']
4hJc rrb ['0.50', '0.50']
4hJc rrc ['0.50', '0.50']
4hJh rrb ['0.50', '0.50']
4hJh rrc ['0.50', '0.50']
4hJs rrb ['0.50', '0.50']
4hJs rrc ['0.50', '0.50']
4hKc rrb ['0.50', '0.50']
4hKc rrc ['0.50', '0.50']
4hKh rrb ['0.50', '0.50']
4hKh rrc ['0.50', '0.50']
4hKs rrb ['0.50', '0.50']
4hKs rrc ['0.50', '0.50']
4hQc rrb ['0.50', '0.50']
4hQc rrc ['0.50', '0.50']
4hQh rrb ['0.50', '0.50']
4hQh rrc ['0.50', '0.50']
4hQs rrb ['0.50', '0.50']
4hQs rrc ['0.50', '0.50']
4hTc rrb ['0.50', '0.50']
4hTc rrc ['0.50', '0.50']
4hTh rrb ['0.50', '0.50']
4hTh rrc ['0.50', '0.50']
4hTs rrb ['0.50', '0.50']
4hTs rrc ['0.50', '0.50']
4s4c rrb ['0.50', '0.50']
